H1,H2,Dg,Pt,Turn,Oracle Action,POMDP Action,Match
"(('R', 1),)","(('B', 0), ('B', 2), ('R', 0))","(('B', 1), ('B', 1), ('B', 2), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0), ('B', 1), ('B', 2))","(('B', 1), ('B', 2), ('R', 0), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0), ('B', 2), ('B', 2))","(('B', 1), ('B', 1), ('R', 0), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0), ('B', 2), ('R', 2))","(('B', 1), ('B', 1), ('B', 2), ('R', 0))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1), ('R', 1))","(('B', 0), ('B', 2))","(('B', 1), ('B', 1), ('B', 2), ('R', 0), ('R', 2))","('R', 2)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0), ('B', 1), ('B', 2))","(('B', 1), ('B', 2), ('R', 2), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0), ('B', 2), ('B', 2))","(('B', 1), ('B', 1), ('R', 2), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0), ('B', 2), ('R', 2))","(('B', 1), ('B', 1), ('B', 2), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1), ('R', 1))","(('B', 0), ('B', 2))","(('B', 1), ('B', 1), ('B', 2), ('R', 2), ('R', 2))","('R', 0)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 2),)","(('B', 1), ('R', 2), ('R', 2))","('B', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1), ('R', 1))","(('B', 1), ('B', 2))","(('B', 1), ('R', 2), ('R', 2))","('R', 0)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 2),)","(('B', 1), ('B', 1), ('R', 2))","('R', 2)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1), ('R', 1))","(('B', 2), ('R', 2))","(('B', 1), ('B', 1), ('R', 2))","('R', 0)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 0), ('R', 1), ('R', 1))","(('B', 2),)","(('B', 1), ('B', 1), ('R', 2), ('R', 2))","('B', 0)",0,"Action(X_1=('R', 0))","Action(X_1=('R', 0))",True
"(('R', 0), ('R', 1), ('R', 1))","(('B', 0),)","(('B', 1), ('B', 1), ('R', 2), ('R', 2))","('B', 2)",0,Action(Y_1=[]),Action(Y_1=[]),True
"(('B', 1), ('R', 1), ('R', 1))","(('B', 2),)","(('B', 1), ('R', 0), ('R', 2), ('R', 2))","('B', 0)",0,"Action(X_1=('B', 1))","Action(X_1=('B', 1))",True
"(('B', 1), ('R', 1), ('R', 1))","(('B', 0),)","(('B', 1), ('R', 0), ('R', 2), ('R', 2))","('B', 2)",0,"Action(X_1=('B', 1))","Action(X_1=('B', 1))",True
"(('R', 1), ('R', 1), ('R', 2))","(('B', 2),)","(('B', 1), ('B', 1), ('R', 0), ('R', 2))","('B', 0)",0,Action(Y_1=[]),Action(Y_1=[]),True
"(('R', 1),)","(('B', 0),)","(('B', 1), ('B', 1), ('R', 2))","('R', 0)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1), ('R', 1))","(('B', 0), ('R', 0))","(('B', 1), ('B', 1), ('R', 2))","('R', 2)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0),)","(('B', 1), ('R', 0), ('R', 2))","('B', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1), ('R', 1))","(('B', 0), ('B', 1))","(('B', 1), ('R', 0), ('R', 2))","('R', 2)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0),)","(('B', 1), ('B', 1), ('R', 0))","('R', 2)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1), ('R', 1))","(('B', 0), ('R', 2))","(('B', 1), ('B', 1), ('R', 0))","('R', 2)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1), ('R', 1), ('R', 2))","(('B', 0),)","(('B', 1), ('B', 1), ('R', 0), ('R', 2))","('B', 2)",0,"Action(X_1=('R', 2))","Action(X_1=('R', 2))",True
"(('R', 1), ('R', 1))","(('B', 0), ('B', 2))","(('B', 1), ('B', 1), ('R', 0), ('R', 2), ('R', 2))","('B', 2)",0,Action(Y_1=[]),Action(Y_1=[]),True
"(('R', 1),)","(('B', 0), ('B', 2), ('R', 0))","(('B', 1), ('B', 2), ('R', 2), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0), ('B', 1), ('B', 2))","(('B', 2), ('R', 0), ('R', 2), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0), ('B', 2), ('B', 2))","(('B', 1), ('R', 0), ('R', 2), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 0), ('B', 2), ('R', 2))","(('B', 1), ('B', 2), ('R', 0), ('R', 2))","('R', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1), ('R', 1))","(('B', 0), ('B', 2))","(('B', 1), ('B', 2), ('R', 0), ('R', 2), ('R', 2))","('B', 1)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 1), ('B', 2), ('B', 2))","(('R', 2), ('R', 2))","('R', 0)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
"(('R', 1),)","(('B', 1), ('B', 2), ('R', 2))","(('B', 2), ('R', 2))","('R', 0)",0,"Action(X_1=('R', 1))","Action(X_1=('R', 1))",True
