Deck Size,Game ID,Oracle Action,Oracle Value,Exact Action,Exact Value,Exact Time,Particle Action,Particle Time,Match (Exact vs Particle)
10,0,"Action(X_1=('B', 2))",-1.0,"Action(X_1=('B', 2))",0.29444444444444445,0.005088329315185547,"Action(X_1=('B', 2))",5.7697296142578125e-05,True
10,1,"Action(X_1=('R', 0))",-1.0,"Action(X_1=('R', 0))",0.4,0.0003020763397216797,"Action(X_1=('R', 0))",6.031990051269531e-05,True
10,3,"Action(X_1=('R', 1))",1.0,"Action(X_1=('B', 0))",0.15873015873015872,0.00630950927734375,"Action(X_1=('B', 0))",0.011899948120117188,True
10,4,"Action(X_1=('B', 1))",1.0,"Action(X_1=('B', 1))",1.0,0.0001704692840576172,"Action(X_1=('B', 1))",2.7894973754882812e-05,True
10,5,Action(Y_1=[]),-0.9,Action(Y_1=[]),-0.6190476190476191,0.0031805038452148438,Action(Y_1=[]),4.172325134277344e-05,True
10,6,"Action(X_1=('B', 0))",1.0,"Action(X_1=('B', 0))",1.0,0.00021123886108398438,"Action(X_1=('B', 0))",2.7894973754882812e-05,True
10,7,Action(Y_1=[]),-0.4,Action(Y_1=[]),-0.40634920634920635,0.01436614990234375,Action(Y_1=[]),4.506111145019531e-05,True
10,8,"Action(X_1=('R', 1))",1.0,"Action(X_1=('R', 1))",-0.3,0.0011212825775146484,"Action(X_1=('R', 1))",3.123283386230469e-05,True
10,9,"Action(X_1=('B', 2))",0.5666666666666667,"Action(X_1=('R', 1))",0.2563492063492063,0.011265277862548828,"Action(X_1=('R', 1))",0.015776395797729492,True
11,0,"Action(X_1=('B', 2))",1.0,"Action(X_1=('B', 2))",0.3587301587301587,0.057160377502441406,"Action(X_1=('B', 2))",0.013656377792358398,True
11,2,"Action(X_1=('B', 1))",1.0,"Action(X_1=('B', 1))",0.3813492063492063,0.006537199020385742,"Action(X_1=('B', 1))",4.410743713378906e-05,True
11,4,"Action(X_1=('R', 2))",1.0,"Action(X_1=('R', 2))",1.0000000000000002,0.00021791458129882812,"Action(X_1=('R', 2))",4.3392181396484375e-05,True
11,5,"Action(X_1=('R', 2))",1.0,"Action(X_1=('R', 2))",0.9999999999999997,0.0001647472381591797,"Action(X_1=('R', 2))",2.2649765014648438e-05,True
11,6,"Action(X_1=('R', 2))",-1.0,"Action(X_1=('R', 2))",0.148313492063492,0.03182840347290039,"Action(X_1=('R', 2))",4.410743713378906e-05,True
11,7,Action(Y_1=[]),-0.6666666666666667,Action(Y_1=[]),-0.35555555555555557,0.01061391830444336,Action(Y_1=[]),4.220008850097656e-05,True
11,8,Action(Y_1=[]),-1.0,Action(Y_1=[]),-0.5095238095238095,0.029826879501342773,Action(Y_1=[]),4.935264587402344e-05,True
11,9,"Action(X_1=('R', 2))",-1.0,"Action(X_1=('R', 2))",0.07777777777777778,0.01621532440185547,"Action(X_1=('R', 2))",4.482269287109375e-05,True
12,0,"Action(X_1=('B', 2))",1.0,"Action(X_1=('B', 2))",0.3579365079365079,0.04248237609863281,"Action(X_1=('B', 2))",5.221366882324219e-05,True
12,1,Action(Y_1=[]),0.5595238095238095,Action(Y_1=[]),-0.513558201058201,0.0270688533782959,Action(Y_1=[]),4.792213439941406e-05,True
12,2,"Action(X_1=('R', 2))",1.0,"Action(X_1=('R', 2))",0.6857804232804233,0.030881166458129883,"Action(X_1=('R', 2))",4.410743713378906e-05,True
12,3,"Action(X_1=('R', 1))",0.9999999999999999,"Action(X_1=('R', 3))",1.0000000000000002,0.04425787925720215,"Action(X_1=('R', 3))",0.015720605850219727,True
12,5,"Action(X_1=('R', 3))",1.0,"Action(X_1=('R', 3))",1.0000000000000002,0.0005102157592773438,"Action(X_1=('R', 3))",3.3855438232421875e-05,True
12,6,Action(Y_1=[]),0.5595238095238094,Action(Y_1=[]),-0.5135582010582009,0.02573084831237793,Action(Y_1=[]),4.458427429199219e-05,True
12,8,"Action(X_1=('B', 0))",-1.0,"Action(X_1=('B', 0))",0.0999559082892416,0.06485342979431152,"Action(X_1=('B', 0))",5.888938903808594e-05,True
12,9,Action(Y_1=[]),-0.37619047619047613,Action(Y_1=[]),-0.6823412698412697,0.08844399452209473,Action(Y_1=[]),4.9114227294921875e-05,True
